"","project_id"
"1","Kidney Chromophobe"
"2","Kidney Chromophobe"
"3","Kidney Chromophobe"
"4","Kidney Chromophobe"
"5","Kidney Chromophobe"
"6","Kidney Chromophobe"
"7","Kidney Chromophobe"
"8","Kidney Chromophobe"
"9","Kidney Chromophobe"
"10","Kidney Chromophobe"
"11","Kidney Chromophobe"
"12","Kidney Chromophobe"
"13","Kidney Chromophobe"
"14","Kidney Chromophobe"
"15","Kidney Chromophobe"
"16","Kidney Chromophobe"
"17","Kidney Chromophobe"
"18","Kidney Chromophobe"
"19","Kidney Chromophobe"
"20","Kidney Chromophobe"
"21","Kidney Chromophobe"
"22","Kidney Chromophobe"
"23","Kidney Chromophobe"
"24","Kidney Chromophobe"
"25","Kidney Chromophobe"
"26","Kidney Chromophobe"
"27","Kidney Chromophobe"
"28","Kidney Chromophobe"
"29","Kidney Chromophobe"
"30","Kidney Chromophobe"
"31","Kidney Chromophobe"
"32","Kidney Chromophobe"
"33","Kidney Chromophobe"
"34","Kidney Chromophobe"
"35","Kidney Chromophobe"
"36","Kidney Chromophobe"
"37","Kidney Chromophobe"
"38","Kidney Chromophobe"
"39","Kidney Chromophobe"
"40","Kidney Chromophobe"
"41","Kidney Chromophobe"
"42","Kidney Chromophobe"
"43","Kidney Chromophobe"
"44","Kidney Chromophobe"
"45","Kidney Chromophobe"
"46","Kidney Chromophobe"
"47","Kidney Chromophobe"
"48","Kidney Chromophobe"
"49","Kidney Chromophobe"
"50","Kidney Chromophobe"
"51","Kidney Chromophobe"
"52","Kidney Chromophobe"
"53","Kidney Chromophobe"
"54","Kidney Chromophobe"
"55","Kidney Chromophobe"
"56","Kidney Chromophobe"
"57","Kidney Chromophobe"
"58","Kidney Chromophobe"
"59","Kidney Chromophobe"
"60","Kidney Chromophobe"
"61","Kidney Chromophobe"
"62","Kidney Chromophobe"
"63","Kidney Chromophobe"
"64","Kidney Chromophobe"
"65","Kidney Chromophobe"
"66","Kidney Chromophobe"
"67","Kidney Renal Clear Cell Carcinoma"
"68","Kidney Renal Clear Cell Carcinoma"
"69","Kidney Renal Clear Cell Carcinoma"
"70","Kidney Renal Clear Cell Carcinoma"
"71","Kidney Renal Clear Cell Carcinoma"
"72","Kidney Renal Clear Cell Carcinoma"
"73","Kidney Renal Clear Cell Carcinoma"
"74","Kidney Renal Clear Cell Carcinoma"
"75","Kidney Renal Clear Cell Carcinoma"
"76","Kidney Renal Clear Cell Carcinoma"
"77","Kidney Renal Clear Cell Carcinoma"
"78","Kidney Renal Clear Cell Carcinoma"
"79","Kidney Renal Clear Cell Carcinoma"
"80","Kidney Renal Clear Cell Carcinoma"
"81","Kidney Renal Clear Cell Carcinoma"
"82","Kidney Renal Clear Cell Carcinoma"
"83","Kidney Renal Clear Cell Carcinoma"
"84","Kidney Renal Clear Cell Carcinoma"
"85","Kidney Renal Clear Cell Carcinoma"
"86","Kidney Renal Clear Cell Carcinoma"
"87","Kidney Renal Clear Cell Carcinoma"
"88","Kidney Renal Clear Cell Carcinoma"
"89","Kidney Renal Clear Cell Carcinoma"
"90","Kidney Renal Clear Cell Carcinoma"
"91","Kidney Renal Clear Cell Carcinoma"
"92","Kidney Renal Clear Cell Carcinoma"
"93","Kidney Renal Clear Cell Carcinoma"
"94","Kidney Renal Clear Cell Carcinoma"
"95","Kidney Renal Clear Cell Carcinoma"
"96","Kidney Renal Clear Cell Carcinoma"
"97","Kidney Renal Clear Cell Carcinoma"
"98","Kidney Renal Clear Cell Carcinoma"
"99","Kidney Renal Clear Cell Carcinoma"
"100","Kidney Renal Clear Cell Carcinoma"
"101","Kidney Renal Clear Cell Carcinoma"
"102","Kidney Renal Clear Cell Carcinoma"
"103","Kidney Renal Clear Cell Carcinoma"
"104","Kidney Renal Clear Cell Carcinoma"
"105","Kidney Renal Clear Cell Carcinoma"
"106","Kidney Renal Clear Cell Carcinoma"
"107","Kidney Renal Clear Cell Carcinoma"
"108","Kidney Renal Clear Cell Carcinoma"
"109","Kidney Renal Clear Cell Carcinoma"
"110","Kidney Renal Clear Cell Carcinoma"
"111","Kidney Renal Clear Cell Carcinoma"
"112","Kidney Renal Clear Cell Carcinoma"
"113","Kidney Renal Clear Cell Carcinoma"
"114","Kidney Renal Clear Cell Carcinoma"
"115","Kidney Renal Clear Cell Carcinoma"
"116","Kidney Renal Clear Cell Carcinoma"
"117","Kidney Renal Clear Cell Carcinoma"
"118","Kidney Renal Clear Cell Carcinoma"
"119","Kidney Renal Clear Cell Carcinoma"
"120","Kidney Renal Clear Cell Carcinoma"
"121","Kidney Renal Clear Cell Carcinoma"
"122","Kidney Renal Clear Cell Carcinoma"
"123","Kidney Renal Clear Cell Carcinoma"
"124","Kidney Renal Clear Cell Carcinoma"
"125","Kidney Renal Clear Cell Carcinoma"
"126","Kidney Renal Clear Cell Carcinoma"
"127","Kidney Renal Clear Cell Carcinoma"
"128","Kidney Renal Clear Cell Carcinoma"
"129","Kidney Renal Clear Cell Carcinoma"
"130","Kidney Renal Clear Cell Carcinoma"
"131","Kidney Renal Clear Cell Carcinoma"
"132","Kidney Renal Clear Cell Carcinoma"
"133","Kidney Renal Clear Cell Carcinoma"
"134","Kidney Renal Clear Cell Carcinoma"
"135","Kidney Renal Clear Cell Carcinoma"
"136","Kidney Renal Clear Cell Carcinoma"
"137","Kidney Renal Clear Cell Carcinoma"
"138","Kidney Renal Clear Cell Carcinoma"
"139","Kidney Renal Clear Cell Carcinoma"
"140","Kidney Renal Clear Cell Carcinoma"
"141","Kidney Renal Clear Cell Carcinoma"
"142","Kidney Renal Clear Cell Carcinoma"
"143","Kidney Renal Clear Cell Carcinoma"
"144","Kidney Renal Clear Cell Carcinoma"
"145","Kidney Renal Clear Cell Carcinoma"
"146","Kidney Renal Clear Cell Carcinoma"
"147","Kidney Renal Clear Cell Carcinoma"
"148","Kidney Renal Clear Cell Carcinoma"
"149","Kidney Renal Clear Cell Carcinoma"
"150","Kidney Renal Clear Cell Carcinoma"
"151","Kidney Renal Clear Cell Carcinoma"
"152","Kidney Renal Clear Cell Carcinoma"
"153","Kidney Renal Clear Cell Carcinoma"
"154","Kidney Renal Clear Cell Carcinoma"
"155","Kidney Renal Clear Cell Carcinoma"
"156","Kidney Renal Clear Cell Carcinoma"
"157","Kidney Renal Clear Cell Carcinoma"
"158","Kidney Renal Clear Cell Carcinoma"
"159","Kidney Renal Clear Cell Carcinoma"
"160","Kidney Renal Clear Cell Carcinoma"
"161","Kidney Renal Clear Cell Carcinoma"
"162","Kidney Renal Clear Cell Carcinoma"
"163","Kidney Renal Clear Cell Carcinoma"
"164","Kidney Renal Clear Cell Carcinoma"
"165","Kidney Renal Clear Cell Carcinoma"
"166","Kidney Renal Clear Cell Carcinoma"
"167","Kidney Renal Clear Cell Carcinoma"
"168","Kidney Renal Clear Cell Carcinoma"
"169","Kidney Renal Clear Cell Carcinoma"
"170","Kidney Renal Clear Cell Carcinoma"
"171","Kidney Renal Clear Cell Carcinoma"
"172","Kidney Renal Clear Cell Carcinoma"
"173","Kidney Renal Clear Cell Carcinoma"
"174","Kidney Renal Clear Cell Carcinoma"
"175","Kidney Renal Clear Cell Carcinoma"
"176","Kidney Renal Clear Cell Carcinoma"
"177","Kidney Renal Clear Cell Carcinoma"
"178","Kidney Renal Clear Cell Carcinoma"
"179","Kidney Renal Clear Cell Carcinoma"
"180","Kidney Renal Clear Cell Carcinoma"
"181","Kidney Renal Clear Cell Carcinoma"
"182","Kidney Renal Clear Cell Carcinoma"
"183","Kidney Renal Clear Cell Carcinoma"
"184","Kidney Renal Clear Cell Carcinoma"
"185","Kidney Renal Clear Cell Carcinoma"
"186","Kidney Renal Clear Cell Carcinoma"
"187","Kidney Renal Clear Cell Carcinoma"
"188","Kidney Renal Clear Cell Carcinoma"
"189","Kidney Renal Clear Cell Carcinoma"
"190","Kidney Renal Clear Cell Carcinoma"
"191","Kidney Renal Clear Cell Carcinoma"
"192","Kidney Renal Clear Cell Carcinoma"
"193","Kidney Renal Clear Cell Carcinoma"
"194","Kidney Renal Clear Cell Carcinoma"
"195","Kidney Renal Clear Cell Carcinoma"
"196","Kidney Renal Clear Cell Carcinoma"
"197","Kidney Renal Clear Cell Carcinoma"
"198","Kidney Renal Clear Cell Carcinoma"
"199","Kidney Renal Clear Cell Carcinoma"
"200","Kidney Renal Clear Cell Carcinoma"
"201","Kidney Renal Clear Cell Carcinoma"
"202","Kidney Renal Clear Cell Carcinoma"
"203","Kidney Renal Clear Cell Carcinoma"
"204","Kidney Renal Clear Cell Carcinoma"
