,project_id
871,Kidney Renal Papillary Cell Carcinoma
741,Kidney Renal Papillary Cell Carcinoma
232,Kidney Renal Clear Cell Carcinoma
389,Kidney Renal Clear Cell Carcinoma
119,Kidney Renal Clear Cell Carcinoma
421,Kidney Renal Clear Cell Carcinoma
315,Kidney Renal Clear Cell Carcinoma
30,Kidney Chromophobe
56,Kidney Chromophobe
631,Kidney Renal Papillary Cell Carcinoma
598,Kidney Renal Clear Cell Carcinoma
738,Kidney Renal Papillary Cell Carcinoma
366,Kidney Renal Clear Cell Carcinoma
82,Kidney Renal Clear Cell Carcinoma
261,Kidney Renal Clear Cell Carcinoma
448,Kidney Renal Clear Cell Carcinoma
559,Kidney Renal Clear Cell Carcinoma
527,Kidney Renal Clear Cell Carcinoma
786,Kidney Renal Papillary Cell Carcinoma
545,Kidney Renal Clear Cell Carcinoma
875,Kidney Renal Papillary Cell Carcinoma
891,Kidney Renal Papillary Cell Carcinoma
538,Kidney Renal Clear Cell Carcinoma
356,Kidney Renal Clear Cell Carcinoma
767,Kidney Renal Papillary Cell Carcinoma
694,Kidney Renal Papillary Cell Carcinoma
717,Kidney Renal Papillary Cell Carcinoma
590,Kidney Renal Clear Cell Carcinoma
498,Kidney Renal Clear Cell Carcinoma
312,Kidney Renal Clear Cell Carcinoma
529,Kidney Renal Clear Cell Carcinoma
828,Kidney Renal Papillary Cell Carcinoma
775,Kidney Renal Papillary Cell Carcinoma
853,Kidney Renal Papillary Cell Carcinoma
291,Kidney Renal Clear Cell Carcinoma
8,Kidney Chromophobe
692,Kidney Renal Papillary Cell Carcinoma
156,Kidney Renal Clear Cell Carcinoma
488,Kidney Renal Clear Cell Carcinoma
427,Kidney Renal Clear Cell Carcinoma
102,Kidney Renal Clear Cell Carcinoma
200,Kidney Renal Clear Cell Carcinoma
851,Kidney Renal Papillary Cell Carcinoma
347,Kidney Renal Clear Cell Carcinoma
300,Kidney Renal Clear Cell Carcinoma
378,Kidney Renal Clear Cell Carcinoma
